Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2014-03-06,669.0,675.71,666.0,666.1,2601.7746447,1746751.277722,671.36916768723
2014-03-05,673.27,679.97,651.9,669.99,12719.614182,8460673.8596945,665.16749161051
2014-03-04,677.69,702.24,633.64,673.0,28031.31700336,19083495.91244,680.79198384266
2014-03-03,565.38,710.0,562.02,677.69,64914.82037014,41032096.494227,632.09135079268
2014-03-02,567.46,570.99,553.0,566.24,6437.39852141,3620383.3385026,562.39851027734
2014-03-01,551.8,576.0,535.0,567.48,14303.9416427,7964319.5684673,556.79195059719
2014-02-28,584.7,591.39,541.0,551.89,22634.32498739,12774750.399362,564.3972332499
2014-02-27,585.24,599.99,571.22,583.0,17048.07050459,10002403.106325,586.71760558664
2014-02-26,534.34,610.0,530.0,585.24,49110.90216434,28306168.06577,576.3723902088
2014-02-25,535.49,545.8,400.0,535.0,115761.98662156,55642025.450891,480.65886803406
2014-02-24,609.9,629.0,514.02,535.49,51840.81217712,29300894.697945,565.20902098977
2014-02-23,610.77,646.0,599.78,610.09,20868.15490482,12931776.228098,619.68948798202
2014-02-22,581.35,619.88,562.15,610.88,18076.09102116,10727909.873205,593.48616139664
2014-02-21,561.86,589.0,530.01,581.35,29612.93711462,16665769.568404,562.78678146303
2014-02-20,623.01,631.0,560.9,561.86,34966.69850131,20678092.117277,591.365299086
2014-02-19,627.7,636.0,617.0,623.01,11128.47837448,6976436.5210425,626.89940945035
2014-02-18,633.66,650.0,609.99,627.7,14833.93993495,9305110.2045435,627.28514779946
2014-02-17,621.0,664.99,610.0,633.66,19902.4393218,12681178.750379,637.16706004418
2014-02-16,655.83,670.0,590.01,621.0,26397.57091925,16510289.030178,625.44728379298
2014-02-15,670.34,673.17,628.88,655.83,20762.64009438,13502488.227018,650.3261707394
2014-02-14,609.4,712.9,538.01,669.0,68378.14539627,42633219.988108,623.4919028739
2014-02-13,650.04,660.0,601.54,604.11,28145.8136164,17781615.816073,631.76769584349
2014-02-12,677.0,685.19,631.58,651.99,15511.78725823,10224606.46481,659.15076674257
2014-02-11,688.34,720.0,631.0,675.1,40062.43735234,26975988.830119,673.3486680521
2014-02-10,688.0,713.0,530.0,687.81,71860.53695222,45893362.69539,638.64486186492
2014-02-09,680.49,755.42,666.21,687.37,15061.93270719,10550327.790395,700.46308103332
2014-02-08,705.01,723.0,662.01,680.49,13501.11536102,9358103.9659569,693.13561996332
2014-02-07,764.0,766.45,619.0,705.01,66362.25784175,46625607.889109,702.59224754369
2014-02-06,780.01,803.0,752.0,763.99,20652.60674868,16004090.74395,774.91867921096
2014-02-05,802.0,810.0,775.0,782.33,8479.50233561,6751169.9281905,796.17525427626
2014-02-04,806.99,812.98,796.83,802.99,7592.00316474,6098292.8425208,803.25214705434
2014-02-03,814.94,815.0,800.5,808.5,4931.83355028,3987645.2483552,808.5522773024
2014-02-02,813.23,825.21,810.23,814.99,4075.68246141,3334786.584054,818.21550516481
2014-02-01,803.0,827.38,802.59,813.23,8296.06416747,6763704.5420657,815.29076987943
2014-01-31,799.99,809.98,791.0,803.0,7728.16005641,6196005.7202455,801.74396945963
2014-01-30,794.21,812.44,770.7,799.99,13125.54815594,10431886.605393,794.77721474605
2014-01-29,785.51,804.95,781.99,794.21,7044.52156243,5597907.3647769,794.64692032909
2014-01-28,750.95,812.93,740.01,788.0,20042.81613687,15664564.857783,781.55508441585
2014-01-27,814.67,823.0,725.0,751.95,25194.23662664,19561840.575187,776.44109107488
2014-01-26,806.81,834.0,795.01,814.75,9704.13726187,7950475.9494872,819.28725191538
2014-01-25,780.0,817.0,773.4,806.8,8705.5640134,6936521.8911896,796.7917851747
2014-01-24,810.95,811.74,767.02,780.0,15775.20253781,12410344.073244,786.69950788265
2014-01-23,819.2,823.28,801.1,812.0,7395.00949206,6000294.6635657,811.39783120064
2014-01-22,824.88,824.99,801.0,819.2,8309.09407494,6765579.6152591,814.23793668
2014-01-21,826.02,834.5,814.0,824.89,7669.59937021,6301148.480263,821.5746580894
2014-01-20,841.5,845.0,815.0,826.02,6968.15670477,5790539.513981,831.0001854604
2014-01-19,810.0,842.07,791.01,842.07,8418.00804502,6914603.1913027,821.40610395274
2014-01-18,796.97,817.12,796.0,810.0,5486.84152085,4434018.8081039,808.11862184366
2014-01-17,814.4,821.0,765.0,797.2,17114.93953749,13611629.498168,795.30689946945
2014-01-16,841.14,849.0,810.01,814.4,8215.45166349,6803847.5038216,828.17692593316
2014-01-15,815.99,850.26,805.18,841.14,12267.77449637,10276214.320699,837.65921225077
2014-01-14,823.99,837.0,800.0,815.99,9729.54391417,7987929.4898461,820.99732118096
2014-01-13,844.04,844.05,783.11,823.0,19366.39159317,15778072.031643,814.71408629409
2014-01-12,895.0,905.0,826.46,844.05,12189.17547898,10461247.186489,858.24075668854
2014-01-11,851.63,909.96,849.51,896.59,16130.91651296,14243532.40376,882.99585409895
2014-01-10,825.5,861.4,799.41,852.61,12846.16052006,10655064.156549,829.4357010338
2014-01-09,823.94,848.0,779.78,824.76,25302.2442016,20628555.646371,815.28561190106
2014-01-08,785.0,849.79,765.0,823.45,26315.75852948,21306391.41698,809.64382588901
2014-01-07,915.8,943.0,785.0,785.0,34063.52120798,29225267.963782,857.96379608975
2014-01-06,905.0,995.0,876.0,919.24,25886.90639128,24246321.68467,936.62492219761
2014-01-05,828.79,948.0,826.07,905.0,24075.9495964,21230765.762108,881.82464733532
2014-01-04,808.24,830.0,790.2,828.79,10990.14294762,8946715.8141001,814.06728345036
2014-01-03,784.19,818.99,767.62,809.4,14860.26282816,11866892.73876,798.56546791841
2014-01-02,751.88,798.7,742.5,784.19,15134.16900738,11633164.736766,768.66887974443
2014-01-01,732.0,757.99,729.01,754.9,7907.63786208,5894781.5665101,745.45416334475
2013-12-31,736.51,739.0,709.0,732.0,7919.32033024,5763630.7343781,727.79361031396
2013-12-30,728.01,740.0,722.81,736.51,6600.2391558,4845439.2532678,734.13086085069
2013-12-29,715.0,732.0,703.45,728.0,8121.30581786,5826581.6869832,717.44394530368
2013-12-28,723.98,736.01,682.22,715.0,13385.19085317,9603991.1264816,717.50871779367
2013-12-27,747.83,762.1,702.26,721.08,16261.66282726,11826312.731691,727.25113399019
2013-12-26,679.01,764.32,677.57,747.0,28028.63835784,20282421.918573,723.63208157414
2013-12-25,653.57,681.24,636.99,679.01,6653.00965075,4396958.6965511,660.89768801936
2013-12-24,654.76,668.8,628.11,652.99,12795.80403043,8297360.8367148,648.44388183678
2013-12-23,612.66,665.0,607.77,654.76,13100.16416543,8341248.2295125,636.72852677101
2013-12-22,595.07,690.0,575.61,612.66,17673.2339864,11228765.438337,635.35431302372
2013-12-21,610.0,648.88,550.0,595.03,19218.17096328,11533044.783832,600.11146772857
2013-12-20,685.1,719.97,570.0,610.0,40959.74061978,26720103.702343,652.35041282072
2013-12-19,520.0,700.0,492.91,685.0,56734.10927258,35307986.596196,622.34142826776
2013-12-18,675.0,680.7,382.21,520.0,137070.17833806,72340781.12388,527.76455098397
2013-12-17,690.5,750.0,612.51,673.62,43034.02835938,29259655.776533,679.91905224823
2013-12-16,861.98,864.0,651.34,691.0,58806.70410398,42965517.314081,730.62277454134
2013-12-15,850.78,869.98,803.51,862.0,11638.00040701,9757006.6456466,838.3748328252
2013-12-14,888.47,895.0,841.01,850.78,7426.55203462,6389855.358951,860.40673103262
2013-12-13,871.22,920.42,850.0,885.98,14766.95107866,13039090.386113,882.99137151986
2013-12-12,879.04,898.9,832.01,871.22,13973.52413434,12057068.092965,862.85091556361
2013-12-11,979.07,988.0,804.0,879.04,31708.38203134,28233929.449124,890.4247911867
2013-12-10,899.91,989.6,895.01,979.23,22694.67993333,21368342.557886,941.5573438647
2013-12-09,787.0,899.99,766.66,899.9,28510.03873043,24732146.892459,867.4890667918
2013-12-08,693.3,797.0,651.0,787.0,27465.08270962,20123346.79992,732.68837427792
2013-12-07,809.72,844.0,542.38,693.3,79852.423783,56441847.092817,706.82697429697
2013-12-06,1020.51,1033.13,796.73,814.91,52688.66174422,47122565.45168,894.35874610821
2013-12-05,1135.0,1138.58,848.42,1023.87,55262.65698958,53884378.322857,975.05949330336
2013-12-04,1055.0,1153.27,1052.1,1132.01,14433.50978208,16043748.470997,1111.5625175878
2013-12-03,1037.11,1088.0,1000.0,1055.0,12567.59167863,13203131.097933,1050.5697062376
2013-12-02,955.0,1057.0,925.16,1047.47,31516.72530827,31532295.810076,1000.4940393284
2013-12-01,1119.52,1123.11,795.6,955.0,61544.38082098,58200765.257361,945.67147286208
2013-11-30,1131.99,1163.0,1080.0,1119.52,12907.55909135,14615036.915544,1132.2851061235
2013-11-29,1012.0,1141.0,988.22,1131.99,21873.31334686,23302931.99146,1065.3590346341
2013-11-28,963.98,1050.18,931.0,1012.98,36898.59364552,36845640.478637,998.56490013166
2013-11-27,915.01,969.0,879.99,963.98,30325.52974397,28417752.638868,937.09006499775
2013-11-26,811.95,919.0,801.0,916.3,29793.02508816,25303731.277,849.31728826208
2013-11-25,800.01,838.2,770.1,817.88,23042.05232527,18613262.582782,807.79534392294
2013-11-24,829.15,842.78,747.0,800.05,20130.68748874,16005407.911555,795.07507731702
2013-11-23,794.0,874.81,785.0,829.15,20338.86461312,16939266.441168,832.85211654543
2013-11-22,720.0,799.8,683.2,795.0,25125.12846391,18684196.020463,743.64579059968
2013-11-21,600.0,730.0,580.37,720.0,30720.73129411,20465236.216644,666.17021648075
2013-11-20,536.01,619.0,440.0,599.0,57711.50722124,31281411.683041,542.03075243074
2013-11-19,669.0,755.0,378.0,536.01,71560.94596711,42781180.45733,597.82860440376
2013-11-18,478.1,669.55,471.23,669.01,57089.07895381,31381658.846633,549.69635912367
2013-11-17,434.53,480.0,434.53,477.38,25991.59517426,12023172.922385,462.579262326
2013-11-16,412.07,447.47,406.92,434.53,17983.46003914,7793030.6080819,433.34433924955
2013-11-15,416.88,431.36,390.0,412.0,32323.20623812,13499273.232174,417.63410265453
2013-11-14,393.5,421.97,381.0,416.95,31638.4774428,12964568.341146,409.77219477723
2013-11-13,354.94,399.89,354.94,393.5,38689.80193194,14659881.486622,378.90815549821
2013-11-12,343.63,357.0,340.01,354.96,19748.2815018,6921644.4298531,350.49350644623
2013-11-11,323.0,349.9,310.1,343.91,26943.37824394,9015515.2311527,334.60968218343
2013-11-10,341.24,341.24,265.01,323.0,67237.40748143,20149735.557565,299.68043552437
2013-11-09,333.9,363.65,298.95,341.24,44361.21177945,15025763.081699,338.71399087118
2013-11-08,291.0,334.45,288.81,334.0,40186.15864335,12776887.101147,317.9424839916
2013-11-07,263.24,297.8,263.24,291.0,49703.85180124,14082029.352912,283.31867335402
2013-11-06,242.9,265.0,241.11,263.24,40026.70686769,10223187.029801,255.4091462881
2013-11-05,227.29,250.79,226.0,242.9,42583.7008287,10150722.394285,238.37107148385
2013-11-04,210.0,230.4,207.22,226.83,28261.78814843,6231108.0081896,220.4781939297
